precio,m2_terreno,m2_construido,banos,medios_banos,estacionamientos,antiguedad,amen_Alberca,amen_Cocina integral,amen_Amueblado,amen_Elevador,amen_Cuartos de servicio,latitud,longitud,tipo_propiedad_departamento,tipo_propiedad_original
179100,250,450,5,1,2,15,1,1,1,0,1,21.14335944,-86.79061077,0,casa
15500,131,124,2,1,2,10,1,1,0,0,0,20.63804056,-100.3405706,0,casa
85000,1049,776,4,1,7,53,0,0,0,0,0,20.6647627,-103.4063934,0,casa
13000,225,90,1,0,2,0,0,1,1,0,0,21.0262329,-89.6875306,0,casa
18000,80,140,2,1,2,0,0,1,1,0,0,21.0315628,-89.6163812,0,casa
24000,100,177,3,0,2,5,1,1,0,0,0,21.0340017,-89.6203656,0,casa
31000,149,248,1,1,2,3,1,1,0,0,0,20.63634944,-100.339535,0,casa
20500,108,161,3,1,2,2,1,1,0,0,0,20.6029549,-100.2095064,0,casa
45000,180,360,5,1,2,0,0,0,0,0,0,25.6308119,-100.2722161,0,casa
55200,422,438,5,1,3,3,1,1,0,0,1,20.63077306,-100.3617067,0,casa
190000,1100,950,4,1,5,0,1,1,0,0,1,21.1860223,-86.8645107,0,casa
103400,362,340,4,1,3,9,0,1,0,0,1,19.4131404,-99.287513,0,casa
35000,420,320,5,1,4,3,1,1,0,0,1,21.0599804,-89.6323516,0,casa
58000,180,307,5,2,2,1,0,1,1,0,1,20.60241203,-100.4035754,0,casa
13001,70,70,3,1,1,0,1,1,1,0,0,20.66126389,-87.09494675,0,casa
13500,162,162,2,0,2,0,0,1,0,0,0,21.95172096,-102.3141444,0,casa
24000,405,105,2,0,1,0,1,1,1,0,0,20.9656796,-89.631102,0,casa
68000,558,440,4,1,4,5,0,1,0,0,1,19.4159743,-99.2529204,0,casa
38650,272,480,3,1,2,8,1,1,0,0,1,20.62464447,-100.3798743,0,casa
147000,519,431,5,0,3,20,1,1,1,0,1,21.1120879,-86.7693278,0,casa
133000,340,498,4,1,3,5,1,1,0,0,1,20.7033583,-103.4380345,0,casa
80000,298,298,4,0,1,0,1,1,1,0,1,21.1629637,-86.80629426,0,casa
79900,354,380,4,1,3,5,1,0,0,0,0,21.0560399,-86.8563631,0,casa
18000,338,137,2,0,5,20,0,1,0,0,0,18.96480251,-99.25353098,0,casa
24000,90,160,2,1,1,0,1,0,1,0,0,21.0362461,-89.5994032,0,casa
90000,380,200,4,1,3,15,1,1,1,0,0,21.1473171,-86.8795,0,casa
200001,800,850,4,1,3,7,0,0,0,0,1,19.42460629,-99.27880095,0,casa
24000,183,208,3,0,3,4,0,1,0,0,0,20.69256563,-100.4638269,0,casa
114000,468,500,5,1,5,6,1,1,1,0,1,21.1120879,-86.7693278,0,casa
23000,366,216,3,0,2,5,1,1,1,0,0,21.07263984,-89.51936137,0,casa
100000,1000,750,4,1,10,0,0,1,0,0,1,19.4306619,-99.2354512,0,casa
80000,388,388,4,1,3,0,1,0,0,0,1,21.05531056,-86.85137111,0,casa
62000,382,360,3,1,3,0,1,1,0,0,1,21.0509502,-86.8491955,0,casa
23000,260,217,2,0,1,5,1,1,1,0,0,21.0117532,-89.5732657,0,casa
37000,154,201,2,1,2,1,0,1,1,0,0,21.02715719,-89.56078674,0,casa
11000,160,80,1,0,2,10,0,1,1,0,0,21.0702894,-89.6556697,0,casa
110000,619,441,4,1,4,4,1,1,0,0,0,21.16260603,-86.86803596,0,casa
